,name,html_url,description,homepage,size,stargazers_count,watchers_count,language,forks_count,open_issues_count,license,topics,default_branch
12,tmpnb-redirector,https://github.com/jupyter/tmpnb-redirector,Simple HTTP redirector for tmpnb nodes,,17,12,12,Python,16,4,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
13,tmpnb-deploy,https://github.com/jupyter/tmpnb-deploy,Deploying tmpnb nodes,,2697,18,18,Python,19,6,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
14,docker-demo-images,https://github.com/jupyter/docker-demo-images,Demo images for use in try.jupyter.org and tmpnb.org,,41849,75,75,Jupyter Notebook,137,0,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
15,try.jupyter.org,https://github.com/jupyter/try.jupyter.org,Try Jupyter!,https://try.jupyter.org,21,10,10,HTML,13,8,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],gh-pages
16,strata-sv-2015-tutorial,https://github.com/jupyter/strata-sv-2015-tutorial,Strata Silicon Valley 2015 Tutorial,,8842,23,23,Python,37,0,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
17,testpath,https://github.com/jupyter/testpath,Test utilities for Python code working with files and commands,,147,25,25,Python,30,3,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
18,scipy-2015-advanced-topics,https://github.com/jupyter/scipy-2015-advanced-topics,Advanced topics in Jupyter tutorial for SciPy 2015.,,0,2,2,,9,0,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
19,jupyter_core,https://github.com/jupyter/jupyter_core,Core Jupyter functionality,https://jupyter-core.readthedocs.io/,426,171,171,Python,167,21,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}",[],main
20,nbformat,https://github.com/jupyter/nbformat,Reference implementation of the Jupyter Notebook format,http://nbformat.readthedocs.io/,919,183,183,Python,137,51,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}",[],main
21,jupyter_client,https://github.com/jupyter/jupyter_client,Jupyter protocol client APIs,https://jupyter-client.readthedocs.io,2527,287,287,Python,240,158,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}",[],main
